Section depth,d1,Clear Cover,lc,a,a/d1,D_l,fyl,rho_l,D_t,s,fyt,rho_tv,rho_t,s/d1,f'c,Axial load(P),Axial load ratio,Vp1/Vo1,ln/h,rholfyl/fc,rhotfyt/fc,theta_y,theta_c,theta_u,V_y,V_c,V_u,theta_E,V_E,a,b,c
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748,71920,0.024461935,0.248,3.504,50025,0.0048,0.004607523,0.350119904,3784.5,40.014,0.147143538,0.838764878,2.872085276,0.464870489,0.06090404,0.011053284,0.048620245,0.048799582,91.56,104.1853401,83.34827205,0.048620245,104.1853401,0.037746298,0.037566961,104.1853401
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748031496,71920,0.024463995,0.248031496,3.503937008,50025,0.0048,0.004608777,0.35011361,3784.5,40.0144,0.147145009,0.838681345,2.872085276,0.464909637,0.060920616,0.012059537,0.054951287,0.054073881,78.58,98.47460746,78.77968596,0.055915101,24.61865186,0.042014344,0.043855564,24.61865186
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748031496,71920,0.024463995,0.248031496,5,50025,0.0033,0.003229773,0.49960032,4872,40.0144,0.114300141,1.001194337,2.872085276,0.361135164,0.033162848,0.013184736,0.025871028,0.048168325,78.04,94.2217724,75.37741792,0.05381321,70.55983939,0.034983589,0.040628474,70.55983939
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748,71920,0.024461935,0.248,5,50025,0.0033,0.003228952,0.49960032,4872,40.014,0.114298998,1.001256087,2.872085276,0.361104755,0.033154418,0.012428979,0.026846004,0.041086755,80.17,100.4655328,80.37242625,0.055906837,99.77752972,0.028657776,0.043477858,99.77752972
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748031496,71920,0.024463995,0.248031496,5,50025,0.0033,0.003229773,0.49960032,4872,24.9528,0.071277054,0.983933855,2.872085276,0.361135164,0.033162848,0.015133925,0.035868708,0.035348527,76.04,87.53310302,70.02648242,0.035868708,87.53310302,0.020214602,0.020734783,87.53310302
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748,71920,0.024461935,0.248,5,50025,0.0033,0.003228952,0.49960032,4872,24.953,0.071277625,0.983996262,2.872085276,0.361104755,0.033154418,0.016072159,0.034487503,0.036534447,83.85,93.26585422,74.61268338,0.034487503,93.26585422,0.020462288,0.018415344,93.26585422
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748031496,71920,0.024463995,0.248031496,3.503937008,50025,0.0048,0.004608777,0.35011361,3749.7,0,0,0.786714176,2.872085276,0.469224343,0.061486004,0.013620686,0.054395732,0.055349687,85.28,98.171774,78.5374192,0.056164463,24.5429435,0.041729001,0.042543777,24.5429435
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748,71920,0.024461935,0.248,2.52,50025,0.007,0.006406652,0.251798561,4843,40.014,0.114983423,0.682055864,2.872085276,0.363267059,0.066176495,0.01913858,0.067202505,0.067907678,87.66,92.31887692,73.85510154,0.067202505,92.31887692,0.048769098,0.048063925,92.31887692
12.008,10.008,1.38,34.488,34.488,3.446043165,0.748,71920,0.024461935,0.248,2.52,50025,0.007,0.006406652,0.251798561,4843,40.014,0.114983423,0.682055864,2.872085276,0.363267059,0.066176495,0.016323914,0.067084203,0.068197634,92.34,99.36358023,79.49086418,0.067084203,99.36358023,0.05187372,0.050760289,99.36358023
18,15.62598425,1.5,116,58,3.711766188,1,47995,0.019392547,0.374015748,18,57985.5,0.001627668,0.000678195,1.151927438,4799.5,113.0744,0.072714879,1.278668208,6.444444444,0.19392547,0.008193661,0.009256494,0.041419914,0.055198862,204.42,238.0907946,190.4726357,0.062,99.0302766,0.045942368,0.052743506,99.0302766
